Dataset,Thread 1 (Comp/Decomp),Thread 2 (Comp/Decomp),Thread 4 (Comp/Decomp),Thread 8 (Comp/Decomp),Thread 16 (Comp/Decomp),Thread 18 (Comp/Decomp),Thread 20 (Comp/Decomp),Thread 24 (Comp/Decomp),Thread 26 (Comp/Decomp),Thread 28 (Comp/Decomp),Thread 30 (Comp/Decomp),Thread 32 (Comp/Decomp),Thread 36 (Comp/Decomp)
CESM-ATM-SDRBench,2.003282/0.231685,1.078163/0.204975,0.562270/0.182273,0.300556/0.177710,0.301440/0.177880,N/A,N/A,N/A,N/A,N/A,N/A,0.494359/0.186969,N/A
CESM-CLIMATE,0.212588/0.039619,0.114141/0.036015,0.062386/0.034277,0.034758/0.032631,0.023334/0.033427,N/A,N/A,N/A,N/A,N/A,N/A,0.025151/0.033204,N/A
CESM-ICE,0.003019/0.004453,0.002142/0.004290,0.001865/0.004287,0.001952/0.004603,0.001913/0.005292,N/A,N/A,N/A,N/A,N/A,N/A,0.003194/0.006531,N/A
CESM-LAND,0.002014/0.002253,0.001611/0.002222,0.001513/0.002337,0.001492/0.002656,0.001941/0.003217,N/A,N/A,N/A,N/A,N/A,N/A,0.003087/0.004256,N/A
CESM-OCEAN,0.005695/0.005756,0.003914/0.005467,0.003273/0.005519,0.002923/0.005694,0.002836/0.006372,N/A,N/A,N/A,N/A,N/A,N/A,0.004325/0.007632,N/A
