Dataset,Thread 1 (Comp/Decomp),Thread 2 (Comp/Decomp),Thread 4 (Comp/Decomp),Thread 8 (Comp/Decomp),Thread 16 (Comp/Decomp),Thread 18 (Comp/Decomp),Thread 20 (Comp/Decomp),Thread 24 (Comp/Decomp),Thread 26 (Comp/Decomp),Thread 28 (Comp/Decomp),Thread 30 (Comp/Decomp),Thread 32 (Comp/Decomp),Thread 36 (Comp/Decomp)
CESM-ATM-SDRBench,0.155082/0.211585,0.091078/0.192983,0.056017/0.181153,0.038228/0.173506,0.027866/0.168672,0.027255/0.169004,0.033359/0.183791,0.033527/0.183024,0.035122/0.185564,0.041147/0.185586,0.042385/0.185691,0.046163/0.185059,0.056524/0.189659
CESM-CLIMATE,0.028904/0.037141,0.018712/0.035711,0.012743/0.033619,0.009292/0.033098,0.007875/0.033312,0.007894/0.033011,0.009858/0.035190,0.010191/0.035562,0.010217/0.035158,0.010192/0.036192,0.010359/0.036038,0.010837/0.036774,0.011741/0.036265
CESM-ICE,0.002808/0.004130,0.001769/0.004055,0.001531/0.004089,0.001673/0.004388,0.001643/0.004851,0.001687/0.004990,0.002239/0.005909,0.002840/0.006234,0.003073/0.006222,0.003624/0.006597,0.003296/0.006598,0.003498/0.006798,0.003919/0.007271
CESM-LAND,0.001685/0.002162,0.001267/0.002207,0.001094/0.002297,0.001247/0.002559,0.001548/0.002961,0.001576/0.003165,0.002128/0.003651,0.002548/0.004130,0.002564/0.004292,0.002983/0.004302,0.003154/0.004349,0.003338/0.004512,0.003660/0.004949
CESM-OCEAN,0.004543/0.005325,0.003305/0.005280,0.002822/0.005212,0.002813/0.005474,0.002888/0.005959,0.002745/0.006113,0.003497/0.006857,0.004271/0.007300,0.004596/0.007414,0.004751/0.007494,0.004431/0.007725,0.005177/0.007992,0.005370/0.008301
